queryID,topicId,similarity
6,10,0.990345,
0,6,0.974806,
1,10,0.965284,
0,10,0.962122,
2,3,0.94459,
1,6,0.944176,
0,1,0.890166,
7,9,0.810186,
9,12,0.709645,
7,12,0.636373,
9,11,0.605288,
7,11,0.583816,
7,8,0.544017,
11,12,0.455491,
8,9,0.389451,
8,11,0.378456,
8,12,0.307338,
3,8,0.220272,
3,11,0.168391,
2,8,0.162887,
3,7,0.156632,
3,9,0.156067,
3,12,0.122654,
4,8,0.115156,
8,13,0.0739446,
2,11,0.0719386,
2,7,0.0612449,
2,9,0.0554465,
2,12,0.0444092,
6,13,0.0418194,
0,13,0.0373528,
10,13,0.0352464,
7,16,0.0281789,
4,12,0.0240316,
1,13,0.0235646,
4,9,0.0230974,
3,4,0.0215474,
7,13,0.0169439,
4,11,0.0152894,
12,13,0.015266,
6,14,0.0146951,
12,16,0.0146861,
13,14,0.0143585,
4,7,0.0138521,
4,16,0.0130994,
0,14,0.0129295,
5,8,0.0126326,
10,14,0.0124958,
4,5,0.0124303,
8,16,0.0121761,
7,10,0.0121173,
6,7,0.0117339,
0,7,0.0114325,
3,16,0.0110357,
14,16,0.010531,
12,15,0.00987734,
1,7,0.00977468,
0,4,0.008346,
3,10,0.00728947,
2,4,0.00696424,
10,12,0.00683501,
4,15,0.0064026,
8,14,0.00623715,
5,14,0.00604492,
0,3,0.0058051,
10,16,0.00551204,
0,8,0.00538651,
0,11,0.00521578,
0,12,0.00513992,
3,13,0.00506202,
7,14,0.00503034,
8,10,0.0050016,
3,6,0.00486922,
6,12,0.00482973,
9,13,0.00470969,
6,8,0.00462093,
0,16,0.00434041,
10,11,0.00422328,
5,11,0.0040487,
1,12,0.0040416,
1,14,0.00400902,
5,12,0.00400316,
1,4,0.00362472,
6,11,0.00352219,
11,13,0.00344503,
4,10,0.003435,
4,6,0.00342811,
5,7,0.00338025,
8,15,0.00336493,
9,10,0.00328406,
6,16,0.00312601,
0,9,0.00307288,
1,16,0.0028007,
11,15,0.00255416,
6,9,0.00254257,
1,8,0.00251162,
3,14,0.00234705,
3,5,0.0023428,
1,3,0.00233728,
2,10,0.00221338,
14,15,0.00207795,
2,13,0.00206096,
12,14,0.00200725,
0,2,0.00191187,
0,15,0.00190005,
10,15,0.0018501,
7,15,0.00184067,
4,14,0.00162471,
1,9,0.00161391,
9,16,0.00158358,
6,15,0.00153715,
15,16,0.00142068,
1,15,0.00141606,
5,10,0.00140621,
9,14,0.00140447,
5,13,0.00136983,
2,6,0.00132513,
1,11,0.00120818,
5,9,0.00118274,
5,6,0.00117841,
11,14,0.0010209,
0,5,0.000984074,
13,16,0.000983313,
3,15,0.000970334,
9,15,0.000716427,
5,15,0.000712004,
1,2,0.000677188,
11,16,0.000668388,
2,16,0.000660732,
13,15,0.000616729,
4,13,0.000582635,
5,16,0.000567012,
2,5,0.000506837,
2,14,0.000392738,
2,15,0.000353362,
1,5,0.000281892,
